TRADE_DATE,STOCK_CODE,OPEN,HIGH,LOW,CLOSE,VOL,AMT
20130723,000300,2211.587,2276.742,2206.756,2265.845,74809731.0,69255423.111
20130731,000300,2211.75,2235.384,2187.21,2193.021,48327055.0,46723493.389
20130802,000300,2263.495,2274.71,2244.252,2247.263,60890893.0,58459999.45
20130809,000300,2288.51,2301.59,2258.334,2286.01,64600017.0,62663979.06
20130813,000300,2352.883,2360.827,2340.733,2359.068,78393636.0,71178520.24
20130815,000300,2348.839,2362.089,2319.784,2321.576,61951853.0,59411203.587
20130820,000300,2325.862,2353.409,2303.666,2312.465,73086345.0,67589707.172
20130823,000300,2314.866,2321.037,2251.92,2286.929,68967133.0,65459845.296
20130827,000300,2332.8,2345.105,2322.461,2340.881,65990333.0,62575377.643
20130828,000300,2326.096,2345.358,2307.043,2328.056,89256174.0,80965562.365
20130830,000300,2315.913,2334.413,2303.609,2313.91,87654515.0,76695994.654
20130902,000300,2319.957,2329.867,2297.449,2320.344,79510249.0,73575869.316
20130903,000300,2326.231,2354.856,2321.304,2354.502,80554005.0,72663978.65
20130904,000300,2352.537,2360.663,2345.437,2350.699,78725763.0,68509013.842
20130912,000300,2480.468,2527.383,2469.718,2507.455,145173175.0,126115528.291
20130913,000300,2502.54,2515.781,2481.454,2488.902,110775049.0,98275004.927
20130916,000300,2501.077,2503.694,2467.129,2478.39,105383282.0,97043842.349
20130918,000300,2426.04,2439.626,2407.243,2432.51,71040759.0,69341324.599
20130925,000300,2440.835,2455.037,2423.276,2429.03,90518418.0,89119216.662
20130927,000300,2382.218,2402.196,2379.856,2394.971,65971508.0,66383990.191
20130930,000300,2406.205,2415.075,2397.22,2409.037,59513992.0,60990141.884
20131022,000300,2470.255,2470.255,2439.859,2445.891,90703029.0,83412053.857
20131023,000300,2451.556,2474.372,2412.483,2418.491,91545355.0,83286778.556
20131025,000300,2400.517,2413.332,2353.993,2368.559,77070182.0,70778094.834
20131106,000300,2371.324,2383.54,2352.787,2353.568,63776663.0,59536872.794
20131108,000300,2329.084,2342.672,2306.041,2307.945,53788508.0,48564999.878
20131111,000300,2305.94,2325.228,2295.003,2315.889,45739457.0,42566548.184
20131114,000300,2291.269,2305.696,2279.006,2304.501,57310356.0,51945077.793
20131115,000300,2306.549,2377.211,2306.549,2350.734,86391771.0,83147858.433
20131119,000300,2427.928,2427.928,2405.076,2412.163,78648296.0,79884936.328
20131121,000300,2412.451,2415.383,2382.878,2409.989,87706677.0,82220527.035
20131126,000300,2387.826,2399.022,2380.412,2387.416,59185864.0,53334204.356
20131128,000300,2419.15,2460.556,2417.235,2439.53,90660406.0,86852445.384
20131202,000300,2423.969,2464.863,2397.007,2418.788,119655123.0,112921841.12
20131209,000300,2460.028,2468.948,2445.94,2450.872,57164884.0,57634539.131
20131210,000300,2456.23,2466.66,2444.526,2453.322,66941424.0,61236728.79
20131211,000300,2440.503,2440.503,2400.742,2412.763,68075144.0,62808851.026
20131213,000300,2388.659,2416.26,2386.246,2406.639,51501196.0,47583527.668
20131220,000300,2335.052,2338.875,2278.096,2278.136,65204207.0,60862129.503
20131223,000300,2283.8,2295.765,2259.575,2284.602,45580285.0,44415342.954
20131227,000300,2268.535,2315.182,2264.386,2303.478,53389157.0,51197946.376
20131231,000300,2289.01,2333.074,2287.117,2330.026,56631070.0,57026486.218
20130724,000300,2253.376,2265.578,2217.192,2249.151,69592307.0,69279825.849
20130725,000300,2255.223,2268.839,2227.853,2237.683,65774316.0,60558362.762
20130726,000300,2226.429,2238.42,2209.806,2224.008,48941098.0,45636069.902
20130729,000300,2205.083,2205.083,2169.017,2175.97,54600925.0,49624613.44
20130730,000300,2184.007,2221.589,2162.979,2189.388,55193623.0,50907227.289
20130801,000300,2206.004,2245.56,2200.626,2245.364,62603997.0,58944765.673
20130805,000300,2249.976,2278.329,2243.22,2278.329,55342151.0,53623068.581
20130806,000300,2270.672,2302.484,2256.715,2293.641,73746895.0,68993574.807
20130807,000300,2292.379,2313.879,2276.862,2280.623,73048695.0,69560482.114
20130808,000300,2277.253,2297.628,2267.073,2276.782,53098430.0,52710276.666
20130812,000300,2296.22,2352.89,2293.176,2352.794,97863216.0,94038910.336
20130814,000300,2362.619,2386.599,2340.833,2349.08,75942128.0,71338219.589
20130816,000300,2314.261,2423.081,2295.023,2304.144,120369563.0,104026773.37
20130819,000300,2286.203,2340.194,2284.077,2331.43,72483224.0,67064925.39
20130821,000300,2320.584,2321.642,2291.053,2308.589,55007384.0,50886495.497
20130822,000300,2302.668,2329.143,2297.016,2303.932,55338104.0,51686310.59
20130826,000300,2294.759,2336.381,2288.496,2335.616,70371043.0,66541009.856
20130829,000300,2338.564,2342.32,2308.145,2318.311,66085415.0,59719882.399
20130905,000300,2350.927,2351.218,2336.754,2341.735,62951383.0,59606065.186
20130906,000300,2336.767,2361.178,2335.932,2357.782,73340116.0,63916893.626
20130909,000300,2374.26,2449.249,2372.686,2440.609,149889640.0,127299546.171
20130910,000300,2446.454,2475.195,2435.826,2474.894,154855992.0,130648129.418
20130911,000300,2483.791,2504.469,2471.624,2482.889,166914974.0,142830288.492
20130917,000300,2480.81,2481.71,2426.462,2427.322,99459982.0,93115107.921
