,date
1402,10/12/18
1403,10/15/18
1404,10/16/18
1405,10/17/18
1406,10/18/18
1407,10/19/18
1408,10/22/18
1409,10/23/18
1410,10/24/18
1411,10/25/18
1412,10/26/18
1413,10/29/18
1414,10/30/18
1415,10/31/18
1416,11/1/18
1417,11/2/18
1418,11/5/18
1419,11/6/18
1420,11/7/18
1421,11/8/18
1422,11/9/18
1423,11/12/18
1424,11/13/18
1425,11/14/18
1426,11/15/18
1427,11/16/18
1428,11/19/18
1429,11/20/18
1430,11/21/18
1431,11/22/18
1432,11/23/18
1433,11/26/18
1434,11/27/18
1435,11/28/18
1436,11/29/18
1437,11/30/18
1438,12/3/18
1439,12/4/18
1440,12/5/18
1441,12/6/18
1442,12/7/18
1443,12/10/18
1444,12/11/18
1445,12/12/18
1446,12/13/18
1447,12/14/18
1448,12/17/18
1449,12/18/18
1450,12/19/18
1451,12/20/18
1452,12/21/18
1453,12/24/18
1454,12/25/18
1455,12/26/18
1456,12/27/18
1457,12/28/18
1458,1/2/19
1459,1/3/19
1460,1/4/19
1461,1/7/19
1462,1/8/19
1463,1/9/19
1464,1/10/19
1465,1/11/19
1466,1/14/19
1467,1/15/19
1468,1/16/19
1469,1/17/19
1470,1/18/19
1471,1/21/19
1472,1/22/19
1473,1/23/19
1474,1/24/19
1475,1/25/19
1476,1/28/19
1477,1/29/19
1478,1/30/19
1479,1/31/19
1480,2/1/19
1481,2/11/19
1482,2/12/19
1483,2/13/19
1484,2/14/19
1485,2/15/19
1486,2/18/19
1487,2/19/19
1488,2/20/19
1489,2/21/19
1490,2/22/19
1491,2/25/19
1492,2/26/19
1493,2/27/19
1494,2/28/19
1495,3/1/19
1496,3/4/19
1497,3/5/19
1498,3/6/19
1499,3/7/19
1500,3/8/19
1501,3/11/19
1502,3/12/19
1503,3/13/19
1504,3/14/19
1505,3/15/19
1506,3/18/19
1507,3/19/19
1508,3/20/19
1509,3/21/19
1510,3/22/19
1511,3/25/19
1512,3/26/19
1513,3/27/19
1514,3/28/19
1515,3/29/19
1516,4/1/19
1517,4/2/19
1518,4/3/19
1519,4/4/19
1520,4/8/19
1521,4/9/19
1522,4/10/19
1523,4/11/19
1524,4/12/19
1525,4/15/19
1526,4/16/19
1527,4/17/19
1528,4/18/19
1529,4/19/19
1530,4/22/19
1531,4/23/19
1532,4/24/19
1533,4/25/19
1534,4/26/19
1535,4/29/19
1536,4/30/19
1537,5/6/19
1538,5/7/19
1539,5/8/19
1540,5/9/19
1541,5/10/19
1542,5/13/19
1543,5/14/19
1544,5/15/19
1545,5/16/19
1546,5/17/19
1547,5/20/19
1548,5/21/19
1549,5/22/19
1550,5/23/19
1551,5/24/19
1552,5/27/19
1553,5/28/19
1554,5/29/19
1555,5/30/19
1556,5/31/19
1557,6/3/19
1558,6/4/19
1559,6/5/19
1560,6/6/19
1561,6/10/19
1562,6/11/19
1563,6/12/19
1564,6/13/19
1565,6/14/19
1566,6/17/19
1567,6/18/19
1568,6/19/19
1569,6/20/19
1570,6/21/19
1571,6/24/19
1572,6/25/19
1573,6/26/19
1574,6/27/19
1575,6/28/19
1576,7/1/19
1577,7/2/19
1578,7/3/19
1579,7/4/19
1580,7/5/19
1581,7/8/19
1582,7/9/19
1583,7/10/19
1584,7/11/19
1585,7/12/19
1586,7/15/19
1587,7/16/19
1588,7/17/19
1589,7/18/19
1590,7/19/19
1591,7/22/19
1592,7/23/19
1593,7/24/19
1594,7/25/19
1595,7/26/19
1596,7/29/19
1597,7/30/19
1598,7/31/19
1599,8/1/19
1600,8/2/19
1601,8/5/19
1602,8/6/19
1603,8/7/19
1604,8/8/19
1605,8/9/19
1606,8/12/19
1607,8/13/19
1608,8/14/19
1609,8/15/19
1610,8/16/19
1611,8/19/19
1612,8/20/19
1613,8/21/19
1614,8/22/19
1615,8/23/19
1616,8/26/19
1617,8/27/19
1618,8/28/19
1619,8/29/19
1620,8/30/19
1621,9/2/19
1622,9/3/19
1623,9/4/19
1624,9/5/19
1625,9/6/19
1626,9/9/19
1627,9/10/19
1628,9/11/19
1629,9/12/19
1630,9/16/19
1631,9/17/19
1632,9/18/19
1633,9/19/19
1634,9/20/19
1635,9/23/19
1636,9/24/19
1637,9/25/19
1638,9/26/19
1639,9/27/19
1640,9/30/19
1641,10/8/19
1642,10/9/19
1643,10/10/19
1644,10/11/19
1645,10/14/19
1646,10/15/19
1647,10/16/19
1648,10/17/19
1649,10/18/19
1650,10/21/19
1651,10/22/19
1652,10/23/19
1653,10/24/19
1654,10/25/19
1655,10/28/19
1656,10/29/19
1657,10/30/19
1658,10/31/19
1659,11/1/19
1660,11/4/19
1661,11/5/19
1662,11/6/19
1663,11/7/19
1664,11/8/19
1665,11/11/19
1666,11/12/19
1667,11/13/19
1668,11/14/19
1669,11/15/19
1670,11/18/19
1671,11/19/19
1672,11/20/19
1673,11/21/19
1674,11/22/19
1675,11/25/19
1676,11/26/19
1677,11/27/19
1678,11/28/19
1679,11/29/19
1680,12/2/19
1681,12/3/19
1682,12/4/19
1683,12/5/19
1684,12/6/19
1685,12/9/19
1686,12/10/19
1687,12/11/19
1688,12/12/19
1689,12/13/19
1690,12/16/19
1691,12/17/19
1692,12/18/19
1693,12/19/19
1694,12/20/19
1695,12/23/19
1696,12/24/19
1697,12/25/19
1698,12/26/19
1699,12/27/19
1700,12/30/19
1701,12/31/19
1702,1/2/20
1703,1/3/20
1704,1/6/20
1705,1/7/20
1706,1/8/20
1707,1/9/20
1708,1/10/20
1709,1/13/20
1710,1/14/20
1711,1/15/20
1712,1/16/20
1713,1/17/20
1714,1/20/20
1715,1/21/20
1716,1/22/20
1717,1/23/20
1718,2/3/20
1719,2/4/20
1720,2/5/20
1721,2/6/20
1722,2/7/20
1723,2/10/20
1724,2/11/20
1725,2/12/20
1726,2/13/20
1727,2/14/20
1728,2/17/20
1729,2/18/20
1730,2/19/20
1731,2/20/20
1732,2/21/20
1733,2/24/20
1734,2/25/20
1735,2/26/20
1736,2/27/20
1737,2/28/20
1738,3/2/20
1739,3/3/20
1740,3/4/20
1741,3/5/20
