,price
1402,3123.3715
1403,3173.8467
1404,3128.5764
1405,3140.6838
1406,3097.7903
1407,3017.7488
1408,3159.5614
1409,3273.1271
1410,3169.4571
1411,3107.8402
1412,3204.2845
1413,3157.4879
1414,3061.93
1415,3116.6582
1416,3185.202
1417,3258.6093
1418,3269.4695
1419,3254.9778
1420,3243.8775
1421,3251.7281
1422,3193.3039
1423,3160.2465
1424,3164.9222
1425,3233.6409
1426,3201.2814
1427,3242.879
1428,3258.7919
1429,3268.0768
1430,3187.1025
1431,3232.9731
1432,3208.593
1433,3148.6721
1434,3152.7743
1435,3137.7477
1436,3198.8259
1437,3136.1962
1438,3260.6862
1439,3256.2282
1440,3224.2556
1441,3218.113
1442,3187.4919
1443,3153.5228
1444,3148.2256
1445,3181.566
1446,3178.891
1447,3207.3481
1448,3158.2844
1449,3139.9493
1450,3133.7416
1451,3083.5441
1452,3055.3258
1453,3015.4974
1454,3006.8787
1455,3012.869
1456,3042.9491
1457,2994.795
1458,3017.0674
1459,2963.0186
1460,2940.1916
1461,3055.1535
1462,3049.8747
1463,3065.2307
1464,3077.4817
1465,3082.2615
1466,3092.4984
1467,3071.5185
1468,3126.1347
1469,3132.6285
1470,3124.5025
1471,3170.8773
1472,3181.9494
1473,3136.096
1474,3146.6046
1475,3165.1814
1476,3203.1189
1477,3177.261
1478,3181.6551
1479,3182.6987
1480,3225.7335
1481,3239.8079
1482,3306.3523
1483,3337.7794
1484,3392.8547
1485,3391.242
1486,3366.423
1487,3454.7216
1488,3449.9321
1489,3450.1411
1490,3439.3781
1491,3575.8528
1492,3734.7059
1493,3682.8116
1494,3675.2642
1495,3699.2157
1496,3783.0367
1497,3785.3762
1498,3822.8588
1499,3841.1456
1500,3721.4016
1501,3663.9772
1502,3758.3151
1503,3758.713
1504,3710.2934
1505,3713.936
1506,3753.6436
1507,3856.5885
1508,3825.3356
1509,3840.2783
1510,3838.1255
1511,3776.4426
1512,3766.5287
1513,3724.4058
1514,3731.0612
1515,3739.7739
1516,3901.1698
1517,3986.3443
1518,3947.8697
1519,4039.7415
1520,4097.1027
1521,4063.8139
1522,4062.4425
1523,4083.4618
1524,3986.7822
1525,4056.4919
1526,3958.0963
1527,4080.7172
1528,4085.1148
1529,4076.2953
1530,4125.9717
1531,4021.6277
1532,4033.6292
1533,4013.6027
1534,3921.8909
1535,3896.5824
1536,3887.1799
1537,3775.0765
1538,3702.2656
1539,3648.5489
1540,3637.346
1541,3643.0557
1542,3675.7597
1543,3630.4388
1544,3674.9931
1545,3720.039
1546,3744.8751
1547,3635.7357
1548,3619.4369
1549,3663.1533
1550,3629.5284
1551,3584.9016
1552,3592.6027
1553,3633.0182
1554,3642.5415
1555,3648.8495
1556,3640.9963
1557,3640.6126
1558,3632.5602
1559,3627.7947
1560,3601.0356
1561,3578.0084
1562,3617.5239
1563,3706.8635
1564,3689.5834
1565,3690.4763
1566,3654.4433
1567,3661.1299
1568,3761.3381
1569,3718.9416
1570,3832.7321
1571,3836.3051
1572,3837.4259
1573,3779.5125
1574,3807.5376
1575,3832.0599
1576,3899.3313
1577,3931.0486
1578,3927.4365
1579,3895.1978
1580,3875.3736
1581,3875.7547
1582,3798.0954
1583,3807.9497
1584,3806.1855
1585,3783.0733
1586,3792.6409
1587,3819.2474
1588,3800.1064
1589,3793.1893
1590,3787.5079
1591,3813.5022
1592,3783.5411
1593,3803.5867
1594,3821.3898
1595,3835.2281
1596,3857.9394
1597,3861.5698
1598,3856.745
1599,3819.3242
1600,3729.1309
1601,3724.4097
1602,3609.1118
1603,3654.6323
1604,3651.3571
1605,3686.7493
1606,3647.8661
1607,3675.5868
1608,3712.0657
1609,3618.0092
1610,3697.9407
1611,3736.0344
1612,3786.026
1613,3778.3091
1614,3793.8552
1615,3796.8821
1616,3756.3618
1617,3791.4587
1618,3818.8125
1619,3805.494
1620,3816.678
1621,3803.689
1622,3852.5794
1623,3848.6483
1624,3909.2087
1625,3946.6854
1626,3980.9577
1627,3976.8697
1628,3969.6757
1629,3944.6917
1630,3981.3616
1631,3947.1577
1632,3902.9947
1633,3923.9631
1634,3933.4594
1635,3925.1858
1636,3895.8661
1637,3887.5548
1638,3884.7022
1639,3843.4584
1640,3842.0741
1641,3818.5894
1642,3822.6068
1643,3838.4865
1644,3885.5198
1645,3944.8593
1646,3953.1645
1647,3939.276
1648,3929.386
1649,3935.4199
1650,3865.3436
1651,3896.3149
1652,3892.6766
1653,3877.9239
1654,3871.7687
1655,3904.9824
1656,3929.7077
1657,3904.7172
1658,3906.8593
1659,3883.8084
1660,3964.0052
1661,3982.1155
1662,4006.327
1663,3984.5529
1664,4017.6742
1665,3948.6186
1666,3905.9584
1667,3905.2831
1668,3905.9284
1669,3908.4891
1670,3874.4405
1671,3904.0996
1672,3940.1344
1673,3894.539
1674,3894.1742
1675,3850.966
1676,3893.4349
1677,3883.429
1678,3877.9012
1679,3857.1883
1680,3835.5128
1681,3829.212
1682,3841.6627
1683,3863.6086
1684,3885.0582
1685,3909.5297
1686,3886.444
1687,3907.1592
1688,3908.4537
1689,3928.0044
1690,3970.7092
1691,3987.7426
1692,4039.724
1693,4034.6159
1694,4032.1519
1695,4014.6929
1696,3971.56
1697,3988.6574
1698,3993.6686
1699,4029.2454
1700,4015.5195
1701,4077.7519
1702,4121.3487
1703,4161.2185
1704,4120.5211
1705,4137.4019
1706,4139.6315
1707,4145.5345
1708,4177.5777
1709,4166.9254
1710,4215.1578
1711,4186.881
1712,4174.8172
1713,4162.1939
1714,4170.7365
1715,4165.0203
1716,4093.8009
1717,4093.3229
1718,3639.9089
1719,3652.0035
1720,3801.099
1721,3841.7537
1722,3879.5531
1723,3872.3738
1724,3926.4204
1725,3945.6663
1726,3985.8757
1727,3954.234
1728,3999.6511
1729,4069.8315
1730,4049.5862
1731,4062.8968
1732,4134.8747
1733,4131.8364
1734,4066.302
1735,4070.0994
1736,4084.0782
1737,3988.7274
1738,3968.8435
1739,4125.1356
1740,4078.4998
1741,4150.21
1742,4158.2021
1743,4063.076
1744,3975.2288
1745,4090.9348
1746,3976.1139
1747,3771.0139
1748,3899.8598
1749,3739.7833
1750,3729.6853
1751,3623.789
1752,3629.5126
1753,3542.6837
1754,3598.6548
1755,3711.4753
1756,3692.6083
1757,3746.3914
1758,3657.4624
1759,3708.1404
1760,3682.2966
1761,3656.3225
1762,3721.4815
1763,3779.9076
1764,3776.4171
1765,3798.4879
1766,3794.8429
1767,3751.7093
1768,3777.8343
1769,3820.8506
1770,3777.7986
1771,3831.9232
1772,3845.4598
1773,3838.2314
1774,3789.1297
1775,3851.9132
1776,3826.3116
1777,3808.0171
1778,3835.348
1779,3837.5135
1780,3880.4094
1781,3867.2587
1782,3937.5918
1783,3942.9972
1784,3974.7605
1785,3961.3427
1786,3946.6428
1787,3952.1986
1788,3941.125
1789,3914.6602
1790,3963.7754
1791,3955.7145
1792,3950.5981
1793,3907.5761
1794,3828.3206
1795,3850.0009
1796,3873.6984
1797,3848.4892
1798,3838.3769
1799,3901.7263
1800,3969.9521
1801,4001.1708
1802,3998.1636
1803,3988.2239
1804,4023.606
1805,4027.5613
1806,4046.2317
1807,4031.7396
1808,3931.6236
1809,3982.9672
1810,3995.5786
1811,4018.6094
1812,4009.7831
1813,4047.0483
1814,4097.5071
1815,4098.0373
1816,4128.1003
1817,4127.9348
1818,4130.0028
1819,4172.6425
1820,4239.408
1821,4353.1937
1822,4465.8081
1823,4739.6104
1824,4692.8621
1825,4770.0769
1826,4796.0873
1827,4742.3738
1828,4836.1655
1829,4821.5155
1830,4741.5295
1831,4524.7717
1832,4597.2038
1833,4697.5026
1834,4682.6575
1835,4668.7401
1836,4679.0273
1837,4535.0053
1838,4567.6691
1839,4559.1634
1840,4689.7632
1841,4652.1824
1842,4735.8985
1843,4778.4866
1844,4761.7637
1845,4779.2377
1846,4742.2939
1847,4681.7553
1848,4730.3748
1849,4668.8899
1850,4666.4901
1851,4627.61
1852,4727.1204
1853,4816.5703
1854,4804.6655
1855,4708.1253
1856,4717.7874
1857,4746.4035
1858,4769.2107
1859,4761.7186
1860,4718.062
1861,4727.292
1862,4870.9337
1863,4803.3922
1864,4859.0754
1865,4841.502
1866,4737.2368
1867,4759.5213
1868,4683.8256
1869,4634.247
1870,4632.0994
1871,4572.2572
1872,4652.0539
1873,4649.4472
1874,4683.006
1875,4642.0542
1876,4636.6422
1877,4750.7481
1878,4654.2179
1879,4639.6592
1880,4623.9535
1881,4582.482
1882,4582.6471
1883,4608.2926
1884,4607.5753
1885,4663.61
1886,4705.1883
1887,4812.8989
1888,4830.4575
1889,4810.7821
1890,4798.9162
1891,4823.4944
1892,4751.3694
1893,4801.6313
1894,4780.5954
1895,4775.4665
1896,4684.0465
1897,4680.1371
1898,4703.0036
1899,4683.607
1900,4776.4726
1901,4702.7457
1902,4743.1742
1903,4781.448
1904,4861.3377
1905,4897.6295
1906,4918.8609
1907,4995.4126
1908,4937.7582
1909,4916.7736
1910,4886.9778
1911,4880.958
1912,4903.12
1913,4889.6749
1914,4880.9224
1915,4928.2223
1916,4954.5987
1917,4997.0485
1918,4992.7466
1919,4908.3208
1920,4930.5928
1921,4994.1063
1922,4963.1302
1923,5072.9755
1924,5065.4531
1925,5049.5231
1926,5065.7285
1927,5029.1063
1928,5022.3846
1929,4931.2933
1930,4957.8236
1931,4903.627
1932,4931.6019
1933,4957.2971
1934,4960.729
1935,5014.3211
1936,4995.7622
1937,5034.9831
1938,4977.2994
1939,5006.0051
1940,4985.7695
1941,5042.9432
1942,5071.449
1943,5037.9848
1944,5122.4799
1945,5212.9313
1946,5245.8355
1947,5386.5144
1948,5428.3944
1949,5526.2876
1950,5504.2358
1951,5419.4996
1952,5609.2637
1953,5556.2125
1954,5471.391
1955,5438.1618
1956,5525.969
1957,5439.9111
1958,5492.9587
1959,5562.379
1960,5564.1237
1961,5600.9017
1962,5505.7708
1963,5450.3695
1964,5413.9684
1965,5356.8535
1966,5429.7032
1967,5499.2961
1968,5453.9764
1969,5494.7011
1970,5506.1423
1971,5584.165
1972,5709.684
1973,5922.0714
1974,5734.0193
1975,5785.5097
1976,5542.6841
1977,5591.4795
1978,5494.4706
1979,5343.9041
1980,5389.2499
1981,5453.2847
1982,5327.3467
1983,5388.4785
1984,5191.9699
1985,5299.7907
1986,5066.1546
1987,5047.0589
1988,5024.5586
1989,5153.674
1990,5116.1228
1991,5054.4089
1992,5062.7706
1993,5114.5872
1994,5068.5319
1995,5008.3953
1996,5057.0632
1997,4985.4013
1998,4904.0683
1999,4953.9453
2000,5052.2634
2001,5043.0952
2002,5085.9497
2003,5059.9359
2004,5129.8545
2005,5178.6401
2006,5141.6556
2007,5078.2627
2008,5100.0422
2009,5026.9791
2010,4949.8074
2011,4945.6857
2012,4969.9099
2013,4966.8999
2014,4966.409
2015,5065.7757
2016,5055.2398
2017,5114.2799
2018,5088.8263
2019,5156.5941
2020,5076.6415
2021,5073.9728
2022,5128.2795
2023,5156.3557
2024,5098.8006
2025,5073.4554
2026,5001.4371
2027,4956.0794
2028,5003.8171
2029,4992.3519
2030,5007.6286
2031,5115.3063
2032,5190.9345
2033,5173.1666
2034,5167.0546
2035,5199.1285
2036,5138.8149
